χωρῶν; τῶν χωρῶν<br><br>ἡ χώρα
χώρᾱς; τὰς χώρᾱς<br>τῆς χώρᾱς<br><br>ἡ χώρα
χώρᾱ; ἡ χώρᾱ<br>τὼ χώρᾱ<br>ῶ χώρᾱ<br><br>ἡ χώρα
χῶραι; αἱ χῶραι<br><br>ἡ χώρα
χώραις; ταῖς χώραις<br><br>ἡ χώρα
χώρᾳ; τῇ χώρᾳ<br><br>ἡ χώρα
χώραιν; τοῖν χώραιν<br><br>ἡ χώρα
χώρᾱν; τὴν χώρᾱν<br><br>ἡ χώρα
νίκαις; ταῖς νίκαις<br><br>ἡ νίκη
νίκᾱ; τὼ νίκᾱ<br><br>ἡ νίκη
νίκης; τῆς νίκης<br><br>ἡ νίκη
νίκη; ἡ νίκη<br>ῶ νίκη<br><br>ἡ νίκη
νῑκῶν; τῶν νῑκῶν<br><br>ἡ νίκη
νίκῃ; τῇ νίκῃ<br><br>ἡ νίκη
νίκᾱς; τὰς νίκᾱς<br><br>ἡ νίκη
νῖκαι; αἱ νῖκαι<br><br>ἡ νίκη
νίκην; τὴν νίκην<br><br>ἡ νίκη
νίκαιν; τοῖν νίκαιν<br><br>ἡ νίκη
φῠγαῖς; ταῖς φῠγαῖς<br><br>ἡ φυγή
φῠγή; ἡ φῠγή<br>ῶ φῠγή<br><br>ἡ φυγή
φῠγά; τὼ φῠγά<br><br>ἡ φυγή
φῠγῇ; τῇ φῠγῇ<br><br>ἡ φυγή
φῠγάς; τὰς φῠγάς<br><br>ἡ φυγή
φῠγαί; αἱ φῠγαί<br><br>ἡ φυγή
φῠγῶν; τῶν φῠγῶν<br><br>ἡ φυγή
φῠγήν; τὴν φῠγήν<br><br>ἡ φυγή
φῠγῆς; τῆς φῠγῆς<br><br>ἡ φυγή
φῠγαῖν; τοῖν φῠγαῖν<br><br>ἡ φυγή
μοίραιν; τοῖν μοίραιν<br><br>ἡ μοῖρα
μοῖραι; αἱ μοῖραι<br><br>ἡ μοῖρα
μοῖρᾰν; τὴν μοῖρᾰν<br><br>ἡ μοῖρα
μοίρᾱς; τὰς μοίρᾱς<br>τῆς μοίρᾱς<br><br>ἡ μοῖρα
μοίρᾱ; τὼ μοίρᾱ<br><br>ἡ μοῖρα
μοίρᾳ; τῇ μοίρᾳ<br><br>ἡ μοῖρα
μοῖρᾰ; ἡ μοῖρᾰ<br>ῶ μοῖρᾰ<br><br>ἡ μοῖρα
μοιρῶν; τῶν μοιρῶν<br><br>ἡ μοῖρα
