ἡ χώρα<br>τὴν ________; τὴν χώρᾱν
ἡ χώρα<br>τῆς ________; τῆς χώρᾱς
ἡ χώρα<br>ἡ ________; ἡ χώρᾱ
ἡ χώρα<br>τῇ ________; τῇ χώρᾳ
ἡ χώρα<br>ῶ ________; ῶ χώρᾱ
ἡ χώρα<br>τὰς ________; τὰς χώρᾱς
ἡ χώρα<br>τῶν ________; τῶν χωρῶν
ἡ χώρα<br>αἱ ________; αἱ χῶραι
ἡ χώρα<br>ταῖς ________; ταῖς χώραις
ἡ χώρα<br>τοῖν ________; τοῖν χώραιν
ἡ χώρα<br>τὼ ________; τὼ χώρᾱ
ἡ νίκη<br>τὴν ________; τὴν νίκην
ἡ νίκη<br>τῆς ________; τῆς νίκης
ἡ νίκη<br>ἡ ________; ἡ νίκη
ἡ νίκη<br>τῇ ________; τῇ νίκῃ
ἡ νίκη<br>ῶ ________; ῶ νίκη
ἡ νίκη<br>τὰς ________; τὰς νίκᾱς
ἡ νίκη<br>τῶν ________; τῶν νῑκῶν
ἡ νίκη<br>αἱ ________; αἱ νῖκαι
ἡ νίκη<br>ταῖς ________; ταῖς νίκαις
ἡ νίκη<br>τοῖν ________; τοῖν νίκαιν
ἡ νίκη<br>τὼ ________; τὼ νίκᾱ
ἡ φυγή<br>τὴν ________; τὴν φῠγήν
ἡ φυγή<br>τῆς ________; τῆς φῠγῆς
ἡ φυγή<br>ἡ ________; ἡ φῠγή
ἡ φυγή<br>τῇ ________; τῇ φῠγῇ
ἡ φυγή<br>ῶ ________; ῶ φῠγή
ἡ φυγή<br>τὰς ________; τὰς φῠγάς
ἡ φυγή<br>τῶν ________; τῶν φῠγῶν
ἡ φυγή<br>αἱ ________; αἱ φῠγαί
ἡ φυγή<br>ταῖς ________; ταῖς φῠγαῖς
ἡ φυγή<br>τοῖν ________; τοῖν φῠγαῖν
ἡ φυγή<br>τὼ ________; τὼ φῠγά
ἡ μοῖρα<br>τὴν ________; τὴν μοῖρᾰν
ἡ μοῖρα<br>τῆς ________; τῆς μοίρᾱς
ἡ μοῖρα<br>ἡ ________; ἡ μοῖρᾰ
ἡ μοῖρα<br>τῇ ________; τῇ μοίρᾳ
ἡ μοῖρα<br>ῶ ________; ῶ μοῖρᾰ
ἡ μοῖρα<br>τὰς ________; τὰς μοίρᾱς
